teamID,yearID,R,AB,H,2B,3B,HR,BB,HBP,SF,SH,SB,CS
BOS,1996,928,5756,1631,308,31,209,642,67,47,33,91,44
BOS,1997,851,5781,1684,373,32,185,514,59,55,21,68,48
BOS,1998,876,5601,1568,338,35,205,541,70,52,35,72,39
BOS,1999,836,5579,1551,334,42,176,597,55,56,34,67,39
BOS,2000,792,5630,1503,316,32,167,611,42,48,40,43,30
BOS,2001,772,5605,1493,316,29,198,520,70,41,28,46,35
BOS,2002,859,5640,1560,348,33,177,545,72,53,22,80,28
BOS,2003,961,5769,1667,371,40,238,620,53,64,24,88,35
BOS,2004,949,5720,1613,373,25,222,659,69,55,12,68,30
BOS,2005,910,5626,1579,339,21,199,653,47,63,14,45,12
BOS,2006,820,5619,1510,327,16,192,672,66,56,22,51,23
BOS,2007,867,5589,1561,352,35,166,689,64,54,30,96,24
BOS,2008,845,5596,1565,353,33,173,646,70,62,28,120,35
BOS,2009,872,5543,1495,335,25,212,659,70,51,19,126,39
BOS,2010,818,5646,1511,358,22,211,587,47,46,29,68,17
BOS,2011,875,5710,1600,352,35,203,578,50,50,22,102,42
BRO,1954,778,5251,1418,246,56,186,634,35,59,79,46,39
BRO,1955,857,5193,1406,230,44,201,674,41,54,75,79,56
BRO,1956,720,5098,1315,212,36,179,649,17,34,86,65,37
BRO,1957,690,5242,1325,188,38,147,550,33,41,78,60,34
CAL,1965,527,5354,1279,200,36,92,443,22,44,93,107,59
CAL,1966,604,5360,1244,179,54,122,525,38,46,69,80,54
CAL,1967,567,5307,1265,170,37,114,453,31,23,88,40,36
CAL,1968,498,5331,1209,170,33,83,447,52,37,75,62,50
CAL,1969,528,5316,1221,151,29,88,516,32,41,75,54,39
CAL,1970,631,5532,1391,197,40,114,447,29,37,69,69,27
CAL,1971,511,5495,1271,213,18,96,441,29,31,83,72,34
CAL,1972,454,5165,1249,171,26,78,358,25,25,66,57,37
CAL,1973,629,5505,1395,183,29,93,509,34,45,60,59,47
CAL,1974,618,5401,1372,203,31,95,509,45,48,82,119,79
CAL,1975,628,5377,1324,195,41,55,593,27,47,97,220,108
CAL,1976,550,5385,1265,210,23,63,534,42,48,92,126,80
CAL,1977,675,5410,1380,233,40,131,542,36,51,74,159,89
CAL,1978,691,5472,1417,226,28,108,539,67,56,72,86,69
CAL,1979,866,5550,1563,242,43,164,589,37,56,79,100,53
CAL,1980,698,5443,1442,236,32,106,539,32,49,71,91,63
CAL,1982,814,5532,1518,268,26,186,613,35,56,114,55,53
CAL,1983,722,5640,1467,241,22,154,509,31,46,68,41,39
CAL,1984,696,5470,1363,211,30,150,556,29,46,65,80,51
CAL,1985,732,5442,1364,215,31,153,648,39,35,99,106,51
CAL,1986,786,5433,1387,236,36,167,671,40,61,91,109,42
CAL,1987,770,5570,1406,257,26,172,590,35,36,70,125,44
CAL,1988,714,5582,1458,258,31,124,469,49,52,63,86,52
CAL,1989,669,5545,1422,208,37,145,429,28,46,54,89,40
CAL,1990,690,5570,1448,237,27,147,566,28,45,58,69,43
CAL,1991,653,5470,1396,245,29,115,448,38,31,63,94,56
CAL,1992,579,5364,1306,202,20,88,416,40,40,56,160,101
CAL,1993,684,5391,1399,259,24,114,564,38,46,50,169,100
CAL,1995,801,5019,1390,252,25,186,564,36,38,33,58,39
CAL,1996,762,5686,1571,256,24,192,527,29,33,45,53,39
CHA,1954,711,5168,1382,203,47,94,604,51,53,96,98,58
CHA,1955,725,5220,1401,204,36,116,568,58,43,111,69,45
CHA,1956,776,5286,1412,218,43,128,619,75,56,86,70,33
CHA,1957,707,5265,1369,208,41,106,632,68,42,75,109,51
CHA,1958,634,5249,1348,191,42,101,518,49,47,72,101,33
CHA,1959,669,5297,1325,220,46,97,580,49,44,84,113,53
CHA,1960,741,5191,1402,242,38,112,567,54,59,95,122,48
CHA,1961,765,5556,1475,216,46,138,550,57,51,71,100,40
CHA,1962,707,5514,1415,250,56,92,620,41,40,82,76,40
CHA,1963,683,5508,1379,208,40,114,571,40,44,79,64,28
CHA,1964,642,5491,1356,184,40,106,562,52,45,96,75,39
CHA,1965,647,5509,1354,200,38,125,533,43,43,89,50,33
CHA,1966,574,5348,1235,193,40,87,476,44,44,109,153,78
CHA,1967,531,5383,1209,181,34,89,480,38,32,67,124,82
CHA,1968,463,5405,1233,169,33,71,397,40,33,90,90,50
CHA,1969,625,5450,1346,210,27,112,552,49,37,70,54,22
CHA,1970,633,5514,1394,192,20,123,477,42,48,51,53,33
CHA,1971,617,5382,1346,185,30,138,562,51,38,81,83,65
CHA,1972,566,5083,1208,170,28,108,511,34,25,68,100,52
CHA,1973,652,5475,1400,228,38,111,537,32,42,49,83,73
CHA,1974,684,5577,1492,225,23,135,519,26,43,70,64,53
CHA,1975,655,5490,1400,209,38,94,611,40,52,50,101,54
CHA,1976,586,5532,1410,209,46,73,471,34,55,79,120,53
CHA,1977,844,5633,1568,254,52,192,559,34,63,33,42,44
CHA,1978,634,5393,1423,221,41,106,409,33,57,63,83,68
CHA,1979,730,5463,1505,290,33,127,454,36,45,58,97,62
CHA,1980,587,5444,1408,255,38,91,399,39,51,67,68,54
CHA,1982,786,5575,1523,266,52,136,533,30,50,54,136,58
CHA,1983,800,5484,1439,270,42,157,527,43,56,53,165,50
CHA,1984,679,5513,1360,225,38,172,523,39,44,37,109,49
CHA,1985,736,5470,1386,247,37,146,471,43,45,59,108,56
CHA,1986,644,5406,1335,197,34,121,487,34,53,50,115,54
CHA,1987,748,5538,1427,283,36,173,487,33,52,54,138,52
CHA,1988,631,5449,1327,224,35,132,446,34,43,67,98,46
CHA,1989,693,5504,1493,262,36,94,464,28,51,85,97,52
CHA,1990,682,5402,1393,251,44,106,478,36,47,75,140,90
CHA,1991,758,5594,1464,226,39,139,610,37,41,76,134,74
CHA,1992,738,5498,1434,269,36,110,622,31,69,47,160,57
